id,type,testSet,prompt,answerTermId,choices,imageId,targetLabel,explanation,hotspots
q_gray164_pelvis_plate_label_4_sphenoid_bone,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,sphenoid_bone,sphenoid_bone|ethmoid_bone|zygomatic_bone|lacrimal_bone,gray164_pelvis_plate,4,番号4は蝶形骨を示しています。蝶形骨は頭蓋底中央に位置し、多くの頭蓋骨と連結する骨です。,
q_gray164_pelvis_plate_label_5_zygomatic_bone,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,zygomatic_bone,zygomatic_bone|ethmoid_bone|lacrimal_bone|nasal_bone,gray164_pelvis_plate,5,番号5は頬骨を示しています。頬骨は頬の突出を作り、眼窩外側壁の一部を構成します。,
q_gray164_pelvis_plate_label_6_lacrimal_bone,image_number_mcq,osteology_basic,図中の「6」で示す構造はどれか。,lacrimal_bone,lacrimal_bone|zygomatic_bone|nasal_bone|maxilla,gray164_pelvis_plate,6,番号6は涙骨を示しています。涙骨は眼窩内側壁前方に位置する小さな骨です。,
q_gray164_pelvis_plate_label_7_maxilla,image_number_mcq,osteology_basic,図中の「7」で示す構造はどれか。,maxilla,maxilla|lacrimal_bone|nasal_bone|mandible,gray164_pelvis_plate,7,番号7は上顎骨を示しています。上顎骨は上歯列や眼窩底、鼻腔外側壁の一部を作ります。,
q_gray164_pelvis_plate_label_8_nasal_bone,image_number_mcq,osteology_basic,図中の「8」で示す構造はどれか。,nasal_bone,nasal_bone|maxilla|mandible|vomer,gray164_pelvis_plate,8,番号8は鼻骨を示しています。鼻骨は鼻背の骨性部分を構成する小骨です。,
q_gray164_pelvis_plate_label_9_ethmoid_bone,image_number_mcq,osteology_basic,図中の「9」で示す構造はどれか。,ethmoid_bone,ethmoid_bone|maxilla|mandible|vomer,gray164_pelvis_plate,9,番号9は篩骨を示しています。篩骨は鼻腔上部と眼窩内側壁の一部を構成する頭蓋骨です。,
q_gray188_temporal_bone_plate_label_1_frontal_bone,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,frontal_bone,frontal_bone|parietal_bone|occipital_bone|temporal_bone,gray188_temporal_bone_plate,1,番号1は前頭骨を示しています。前頭骨は額と眼窩上部を構成する頭蓋骨です。,
q_gray188_temporal_bone_plate_label_2_parietal_bone,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,parietal_bone,parietal_bone|occipital_bone|temporal_bone|sphenoid_bone,gray188_temporal_bone_plate,2,番号2は頭頂骨を示しています。頭頂骨は頭蓋冠の側上部を構成する骨です。,
q_gray188_temporal_bone_plate_label_3_occipital_bone,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,occipital_bone,occipital_bone|temporal_bone|sphenoid_bone|ethmoid_bone,gray188_temporal_bone_plate,3,番号3は後頭骨を示しています。後頭骨は頭蓋後下部を構成し、大後頭孔を含む骨です。,
q_gray188_temporal_bone_plate_label_4_temporal_bone,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,temporal_bone,temporal_bone|sphenoid_bone|ethmoid_bone|zygomatic_bone,gray188_temporal_bone_plate,4,番号4は側頭骨を示しています。側頭骨は頭蓋側面にあり、外耳道や顎関節窩を含みます。,
q_gray188_temporal_bone_plate_label_5_sphenoid_bone,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,sphenoid_bone,sphenoid_bone|ethmoid_bone|zygomatic_bone|lacrimal_bone,gray188_temporal_bone_plate,5,番号5は蝶形骨を示しています。蝶形骨は頭蓋底中央に位置し、多くの頭蓋骨と連結する骨です。,
q_gray188_temporal_bone_plate_label_6_zygomatic_bone,image_number_mcq,osteology_basic,図中の「6」で示す構造はどれか。,zygomatic_bone,zygomatic_bone|lacrimal_bone|nasal_bone|maxilla,gray188_temporal_bone_plate,6,番号6は頬骨を示しています。頬骨は頬の突出を作り、眼窩外側壁の一部を構成します。,
q_gray188_temporal_bone_plate_label_7_ethmoid_bone,image_number_mcq,osteology_basic,図中の「7」で示す構造はどれか。,ethmoid_bone,ethmoid_bone|lacrimal_bone|nasal_bone|maxilla,gray188_temporal_bone_plate,7,番号7は篩骨を示しています。篩骨は鼻腔上部と眼窩内側壁の一部を構成する頭蓋骨です。,
q_gray188_temporal_bone_plate_label_8_lacrimal_bone,image_number_mcq,osteology_basic,図中の「8」で示す構造はどれか。,lacrimal_bone,lacrimal_bone|nasal_bone|maxilla|mandible,gray188_temporal_bone_plate,8,番号8は涙骨を示しています。涙骨は眼窩内側壁前方に位置する小さな骨です。,
q_gray188_temporal_bone_plate_label_9_maxilla,image_number_mcq,osteology_basic,図中の「9」で示す構造はどれか。,maxilla,maxilla|mandible|vomer|frontal_bone,gray188_temporal_bone_plate,9,番号9は上顎骨を示しています。上顎骨は上歯列や眼窩底、鼻腔外側壁の一部を作ります。,
q_gray188_temporal_bone_plate_label_10_nasal_bone,image_number_mcq,osteology_basic,図中の「10」で示す構造はどれか。,nasal_bone,nasal_bone|mandible|vomer|frontal_bone,gray188_temporal_bone_plate,10,番号10は鼻骨を示しています。鼻骨は鼻背の骨性部分を構成する小骨です。,
q_gray188_temporal_bone_plate_label_12_mandible,image_number_mcq,osteology_basic,図中の「12」で示す構造はどれか。,mandible,mandible|frontal_bone|parietal_bone|occipital_bone,gray188_temporal_bone_plate,12,番号12は下顎骨を示しています。下顎骨は顔面頭蓋で唯一大きく可動する骨です。,
q_gray113_thorax_posterior_plate_label_1_rib,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,rib,rib|thoracic_vertebra|scapula|clavicle,gray113_thorax_posterior_plate,1,番号1は肋骨を示しています。肋骨は胸郭を構成し、心臓や肺を保護します。,
q_gray113_thorax_posterior_plate_label_2_thoracic_vertebra,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,thoracic_vertebra,thoracic_vertebra|scapula|clavicle|sternum,gray113_thorax_posterior_plate,2,番号2は胸椎を示しています。胸椎は胸郭を構成する椎骨で、肋骨と関節する。,
q_gray112_thorax_anterior_plate_label_1_sternum,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,sternum,sternum|rib|thoracic_vertebra|scapula,gray112_thorax_anterior_plate,1,番号1は胸骨を示しています。胸骨は胸郭前面の中央にある骨で、肋軟骨を介して肋骨とつながります。,
q_gray112_thorax_anterior_plate_label_2_rib,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,rib,rib|thoracic_vertebra|scapula|clavicle,gray112_thorax_anterior_plate,2,番号2は肋骨を示しています。肋骨は胸郭を構成し、心臓や肺を保護します。,
q_gray112_thorax_anterior_plate_label_3_thoracic_vertebra,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,thoracic_vertebra,thoracic_vertebra|scapula|clavicle|sternum,gray112_thorax_anterior_plate,3,番号3は胸椎を示しています。胸椎は胸郭を構成する椎骨で、肋骨と関節する。,
q_gray219_hand_palmar_plate_label_1_pisiform,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,pisiform,pisiform|triquetral_bone|lunate_bone|scaphoid_bone,gray219_hand_palmar_plate,1,番号1は豆状骨を示しています。豆状骨は手根骨の一つで、尺側近位に位置する小さな骨です。,
q_gray219_hand_palmar_plate_label_2_triquetral_bone,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,triquetral_bone,triquetral_bone|lunate_bone|scaphoid_bone|trapezium_bone,gray219_hand_palmar_plate,2,番号2は三角骨を示しています。三角骨は手根骨近位列の尺側に位置する骨です。,
q_gray219_hand_palmar_plate_label_3_lunate_bone,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,lunate_bone,lunate_bone|scaphoid_bone|trapezium_bone|trapezoid_bone,gray219_hand_palmar_plate,3,番号3は月状骨を示しています。月状骨は手根骨近位列中央に位置する骨です。,
q_gray219_hand_palmar_plate_label_4_scaphoid_bone,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,scaphoid_bone,scaphoid_bone|trapezium_bone|trapezoid_bone|capitate_bone,gray219_hand_palmar_plate,4,番号4は舟状骨を示しています。舟状骨は手根骨近位列橈側に位置する骨です。,
q_gray219_hand_palmar_plate_label_5_trapezium_bone,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,trapezium_bone,trapezium_bone|trapezoid_bone|capitate_bone|hamate_bone,gray219_hand_palmar_plate,5,番号5は大菱形骨を示しています。大菱形骨は母指側の遠位手根骨で、第1中手骨と関節します。,
q_gray219_hand_palmar_plate_label_6_trapezoid_bone,image_number_mcq,osteology_basic,図中の「6」で示す構造はどれか。,trapezoid_bone,trapezoid_bone|capitate_bone|hamate_bone|metacarpal_bone,gray219_hand_palmar_plate,6,番号6は小菱形骨を示しています。小菱形骨は遠位手根骨の一つで、大菱形骨と有頭骨の間に位置します。,
q_gray219_hand_palmar_plate_label_7_capitate_bone,image_number_mcq,osteology_basic,図中の「7」で示す構造はどれか。,capitate_bone,capitate_bone|hamate_bone|metacarpal_bone|proximal_phalanx,gray219_hand_palmar_plate,7,番号7は有頭骨を示しています。有頭骨は手根骨の中央に位置する大きな骨です。,
q_gray219_hand_palmar_plate_label_8_hamate_bone,image_number_mcq,osteology_basic,図中の「8」で示す構造はどれか。,hamate_bone,hamate_bone|metacarpal_bone|proximal_phalanx|middle_phalanx,gray219_hand_palmar_plate,8,番号8は有鈎骨を示しています。有鈎骨は遠位手根骨の尺側に位置し、有鈎骨鈎を持つ骨です。,
q_gray219_hand_palmar_plate_label_9_metacarpal_bone,image_number_mcq,osteology_basic,図中の「9」で示す構造はどれか。,metacarpal_bone,metacarpal_bone|proximal_phalanx|middle_phalanx|distal_phalanx,gray219_hand_palmar_plate,9,番号9は中手骨を示しています。中手骨は手掌部を構成し、手根骨と指骨をつなぐ骨です。,
q_gray219_hand_palmar_plate_label_10_proximal_phalanx,image_number_mcq,osteology_basic,図中の「10」で示す構造はどれか。,proximal_phalanx,proximal_phalanx|middle_phalanx|distal_phalanx|radius,gray219_hand_palmar_plate,10,番号10は基節骨を示しています。基節骨は指骨のうち最も近位にある骨です。,
q_gray219_hand_palmar_plate_label_11_middle_phalanx,image_number_mcq,osteology_basic,図中の「11」で示す構造はどれか。,middle_phalanx,middle_phalanx|distal_phalanx|radius|ulna,gray219_hand_palmar_plate,11,番号11は中節骨を示しています。中節骨は第2から第5指で基節骨と末節骨の間にある骨です。,
q_gray219_hand_palmar_plate_label_12_distal_phalanx,image_number_mcq,osteology_basic,図中の「12」で示す構造はどれか。,distal_phalanx,distal_phalanx|radius|ulna|pisiform,gray219_hand_palmar_plate,12,番号12は末節骨を示しています。末節骨は指先を構成する遠位の指骨です。,
q_gray213_lower_limb_plate_label_1_ulna,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,ulna,ulna|radius|humerus|scapula,gray213_lower_limb_plate,1,番号1は尺骨を示しています。尺骨は前腕の小指側にある骨で、肘関節の形成に重要です。,
q_gray213_lower_limb_plate_label_2_radius,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,radius,radius|humerus|scapula|clavicle,gray213_lower_limb_plate,2,番号2は橈骨を示しています。橈骨は前腕の母指側にある骨で、回内回外運動に関わります。,
q_gray204_thorax_posterior_plate_label_1_scapula,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,scapula,scapula|rib|thoracic_vertebra|clavicle,gray204_thorax_posterior_plate,1,番号1は肩甲骨を示しています。肩甲骨は肩の後面にある平たい骨で、上腕骨や鎖骨と関節を作ります。,
q_gray204_thorax_posterior_plate_label_2_clavicle,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,clavicle,clavicle|thoracic_vertebra|scapula|sternum,gray204_thorax_posterior_plate,2,番号2は鎖骨を示しています。鎖骨は胸骨と肩甲骨をつなぎ、上肢帯を体幹に連結します。,
q_gray204_thorax_posterior_plate_label_3_rib,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,rib,rib|scapula|clavicle|sternum,gray204_thorax_posterior_plate,3,番号3は肋骨を示しています。肋骨は胸郭を構成し、心臓や肺を保護します。,
q_gray204_thorax_posterior_plate_label_4_thoracic_vertebra,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,thoracic_vertebra,thoracic_vertebra|clavicle|sternum|rib,gray204_thorax_posterior_plate,4,番号4は胸椎を示しています。胸椎は胸郭を構成する椎骨で、肋骨と関節する。,
q_gray194_skull_lateral_plate_label_1_vomer,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,vomer,vomer|parietal_bone|occipital_bone|temporal_bone,gray194_skull_lateral_plate,1,番号1は鋤骨を示しています。鋤骨は鼻中隔の後下部を構成する薄い骨です。,
q_gray194_skull_lateral_plate_label_2_maxilla,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,maxilla,maxilla|occipital_bone|temporal_bone|sphenoid_bone,gray194_skull_lateral_plate,2,番号2は上顎骨を示しています。上顎骨は上歯列や眼窩底、鼻腔外側壁の一部を作ります。,
q_gray194_skull_lateral_plate_label_3_nasal_bone,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,nasal_bone,nasal_bone|temporal_bone|sphenoid_bone|ethmoid_bone,gray194_skull_lateral_plate,3,番号3は鼻骨を示しています。鼻骨は鼻背の骨性部分を構成する小骨です。,
q_gray194_skull_lateral_plate_label_4_ethmoid_bone,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,ethmoid_bone,ethmoid_bone|sphenoid_bone|zygomatic_bone|lacrimal_bone,gray194_skull_lateral_plate,4,番号4は篩骨を示しています。篩骨は鼻腔上部と眼窩内側壁の一部を構成する頭蓋骨です。,
